,isbn,blue,green,red
0,1599901927,141.2250919117647,177.50556066176472,215.4090073529412
1,8415594828,102.21858465608466,190.05861441798942,187.7635582010582
2,0515157635,63.02606201171875,59.29669189453125,59.76702880859375
3,0590819194,238.62670012953367,238.8334277849741,238.66576262953367
4,0395522781,195.2112148668639,212.97970599112426,219.30464127218934
5,0803720440,147.73918876262627,167.45391414141415,179.00063131313132
6,155037026X,163.1849365234375,143.0677490234375,134.06793212890625
7,1442481218,96.68450453367876,72.3011253238342,63.20729436528497
8,0786802588,200.773243159204,163.38805970149255,132.39711598258705
9,1586179217,173.58033459595958,137.02466066919192,162.84548611111111
10,0152058540,216.748125,202.7651875,194.815125
11,0545055938,121.08501344086021,144.69737063172042,146.01470094086022
12,0717264718,156.26002604166666,166.1379340277778,139.87139756944444
13,0965922510,216.236669921875,179.07119140625,209.86611328125
14,0780738322,130.76447860054347,118.94408118206522,140.17166270380434
15,1903155266,131.18440755208334,126.43660481770833,108.2354736328125
16,9888341200,186.86309814453125,211.59063720703125,212.674072265625
17,8415784120,170.66748046875,197.76593017578125,224.8046875
18,0448445956,75.48524305555556,112.5095091540404,121.65246212121212
19,0399229191,210.70805027173913,212.74949048913044,224.88136888586956
20,0590858564,66.34561011904762,114.5819568452381,137.54747023809523
21,0439013410,131.02921376329786,130.0171210106383,134.91929853723406
22,0698114345,92.46418694690266,147.79162057522123,199.76375829646017
23,0997122102,148.9058449074074,151.94704861111111,170.69890046296297
24,1770494189,50.846883138020836,58.3427734375,68.55204264322917
25,060614871X,138.59920058139534,153.93774224806202,179.6235465116279
26,0723247870,230.9047794117647,234.70951286764705,235.45707720588234
27,1442495278,188.8718475877193,202.82282529239765,189.27860014619884
28,1847806813,58.867041015625,145.827490234375,186.568603515625
29,0618581324,199.87604166666668,199.12019675925927,210.4859375
30,2211083765,80.48136574074074,180.61799768518517,120.09288194444444
31,0307231992,254.99949596774192,254.99949596774192,254.99949596774192
32,1554519004,233.18719660194174,238.28223604368932,240.43643810679612
33,0440400295,46.054849417098445,105.79149125647669,200.70199158031087
34,0061992879,77.49820963541667,167.99947102864584,199.51025390625
35,1632631253,167.0884596456693,171.2224409448819,167.4670275590551
36,1845079191,149.7870617378049,236.32307545731706,75.24337842987805
37,0140309578,187.30377094972067,202.78976082402235,186.9334409916201
38,1558962778,122.21309468283582,124.84590718283582,116.88549440298507
39,1582348413,139.41192626953125,151.39373779296875,201.77679443359375
40,0062303511,170.89358836206895,202.9674703663793,207.7821255387931
41,0739477072,74.5630608974359,57.977363782051285,48.86594551282051
42,0688103472,169.7871671597633,206.30727625739644,211.96495931952663
43,159253953X,229.0815340909091,228.92864583333332,227.44251893939395
